id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
CMD957113,C02038,P005,Jul 16 2024,4,2184.86,KO,fes,Carte bancaire,L050,2024-07-20
CMD706629,C01705,P019,2025-02-10,3,3619.92,annulé,safi,Paiement a la livraison,L041,2025-02-12
CMD278250,C00133,P032,Mar 24 2024,4,2720.04,livré,settat ,Virement,L025,2024-03-25
CMD958636,C01973,P036,05/01/2025,2,2148.63,LIVRE,Tnja,Paiement a la livraison,L050,2025-01-12
CMD965210,C00727,P003,2024-06-17,5,6792.32,livre,safi,Paiement a la livraison,L014,2024-06-23
CMD832161,C01276,P025,25/04/2024,1,8582.06,annulé,oujda,Virement,L036,2024-05-01
CMD627807,C00976,P046,Jul 28 2024,3,796.17,livré,rabat ,Virement,L011,2024-07-30
CMD796808,C00379,P025,Dec 16 2024,5,2023.0,livre,kenitra ,PayPal,L001,2024-12-20
CMD482469,C01084,P006,2024-02-06,1,5647.89,retourne,TIZ,Paiement a la livraison,L006,2024-02-08
CMD449526,C00636,P032,2024-12-01,5,7693.74,en_cours,CASA,Maroc Pay,L019,2024-12-03
CMD498453,C00186,P046,2024-08-06,5,8626.79,annule,NAD,PayPal,L030,2024-08-12
CMD676163,C00004,P036,10/05/2024,5,3225.28,annulé,Oujda,CMI,L038,2024-05-12
CMD278977,C02117,P016,2024-08-27,1,10369.45,en_cours,agadir,Paiement a la livraison,L016,2024-08-29
CMD613408,C01101,P009,Apr 16 2024,4,10073.6,OK,tng,Carte bancaire,,2024-04-21
CMD444237,C00496,P020,Mar 08 2025,3,9027.59,annulé,kenitra,Virement,L040,2025-03-10
CMD103814,C01101,P006,05/07/2024,2,7627.4,KO,Dar el Beida,PayPal,L006,2024-07-07
CMD956937,C01629,P044,14/07/2024,2,3726.18,en_cours,Oujda Ville,PayPal,L014,2024-07-20
CMD515285,C00907,P017,03/09/2024,1,2523.59,annulé,TTA,Virement,L046,2024-09-04
CMD666379,C01452,P019,Jan 26 2024,1,3861.18,en_cours,Tetouan,Maroc Pay,L005,2024-01-29
CMD804886,C00626,P024,Dec 25 2024,2,11705.42,retourné,al hoceima ,Paiement a la livraison,L031,2024-12-26
CMD486114,C00774,P001,31/05/2024,1,11665.45,livré,oujda ,Carte bancaire,L023,2024-06-04
CMD600473,C02189,P022,29/09/2024,2,2303.36,retourné,TANGER,Virement,L039,2024-09-30
CMD876717,C00583,P007,2025-03-15,4,8332.19,annulé,Tetouan Ville,PayPal,L028,2025-03-20
CMD775809,C01005,P031,Jan 12 2025,1,4110.31,OK,tiznit,CMI,L040,2025-01-15
CMD676578,C01932,P010,24/03/2024,1,510.45,DONE,HOC,Virement,L015,2024-03-26
CMD900319,C01534,P027,18/08/2024,2,2644.99,retourné,agadir ,PayPal,L040,2024-08-25
CMD129264,C00448,P032,Nov 09 2024,4,3441.11,annulé,sale ,Carte bancaire,L035,2024-11-15
CMD779732,C01681,P040,Jan 21 2025,1,6444.25,KO,safi ,CMI,L043,2025-01-25
CMD600706,C00043,P038,2024-11-03,4,996.5,DONE,Marrakesh,Paiement a la livraison,L002,2024-11-08
CMD699654,C01695,P018,2024-02-16,5,2588.81,livré,Oujda,PayPal,L008,2024-02-21
CMD775983,C00255,P029,10/09/2024,1,3985.99,livré,Settat Ville,CMI,L010,2024-09-16
CMD892808,C00833,P029,11/08/2024,5,1518.89,OK,sale ,Carte bancaire,L004,2024-08-13
CMD761879,C01595,P033,Jun 06 2024,2,6352.28,livré,al hoceima,CMI,L017,2024-06-07
CMD359630,C02011,P043,28/11/2024,4,1345.69,livré,marrakech ,Maroc Pay,L008,2024-12-04
CMD843566,C01430,P030,May 03 2024,1,1261.66,LIVRE,tanger ,Carte bancaire,L010,2024-05-06
CMD890721,C00655,P016,May 29 2024,1,2675.33,en_cours,Nador Ville,PayPal,L015,2024-06-05
CMD451500,C00213,P015,27/02/2024,1,3242.48,annule,tetouan ,Maroc Pay,L006,2024-03-01
CMD274553,C00883,P004,2024-08-03,4,3072.49,DONE,Al Hoceima,Virement,L049,2024-08-10
CMD515849,C01987,P047,11/03/2024,3,1192.63,annulé,Kenitra,PayPal,L038,2024-03-12
CMD987875,C01041,P040,2025-03-22,2,9513.13,retourne,Kenitra Ville,PayPal,L050,2025-03-25
CMD996864,C00914,P048,07/03/2025,2,9555.29,annulé,fes,CMI,L005,2025-03-10
CMD618133,C01442,P042,Jun 18 2024,1,5368.27,livre,Marrakech,CMI,L005,2024-06-20
CMD108144,C00049,P043,2025-01-23,4,11849.93,annulé,fes,PayPal,L040,2025-01-30
CMD723089,C00244,P034,2024-05-24,2,4606.19,livré,TTA,Carte bancaire,L022,2024-05-29
CMD566123,C01190,P024,Jan 18 2024,1,2130.29,livré,Nador,CMI,L016,2024-01-24
CMD256577,C00050,P038,24/07/2024,2,8060.35,annulé,TIZ,PayPal,L041,2024-07-31
CMD725300,C01325,P014,2024-09-18,3,5804.09,en_cours,tanger ,Maroc Pay,L016,2024-09-21
CMD521752,C00666,P039,07/08/2024,2,11330.13,livré,tetouan,Carte bancaire,L013,2024-08-10
CMD418397,C02196,P044,2024-10-07,5,9426.74,livre,safi,Maroc Pay,L032,2024-10-09
CMD607147,C00701,P027,Aug 17 2024,4,8698.13,LIVRE,NAD,Paiement a la livraison,L005,2024-08-24
CMD120044,C00331,P015,17/12/2024,4,10665.82,annule,Rabat,Paiement a la livraison,L045,2024-12-23
CMD677501,C02066,P010,Feb 01 2025,4,5869.27,annule,Kenitra,Carte bancaire,L013,2025-02-06
CMD634881,C00110,P048,2024-05-22,3,6303.17,en_cours,tiznit ,Carte bancaire,L043,2024-05-28
CMD270157,C01316,P022,28/01/2024,4,8856.71,livré,casa,PayPal,L018,2024-02-01
CMD770371,C01879,P043,Feb 17 2024,5,2868.97,retourne,tiznit ,Virement,L028,2024-02-24
CMD402246,C01387,P032,18/09/2024,1,5867.99,retourne,settat ,Virement,L031,2024-09-24
CMD112994,C01280,P030,2024-02-04,3,1106.45,annule,TTA,Carte bancaire,L039,2024-02-11
CMD733936,C01766,P046,2024-10-12,3,11445.86,en_cours,fes ,CMI,L014,2024-10-18
CMD931122,C02209,P012,2024-12-14,3,7231.9,livré,TNG,Carte bancaire,L022,2024-12-18
CMD781750,C00951,P029,02/02/2025,2,273.84,OK,nador ,Virement,L046,2025-02-03
CMD916596,C01823,P044,2024-11-02,2,10002.61,KO,agadir ,Virement,L041,2024-11-08
CMD225083,C01600,P015,Jan 01 2024,1,1600.49,livre,Sale Ville,PayPal,L050,2024-01-04
CMD905769,C00042,P007,2024-06-13,5,928.86,DONE,Rabat Ville,CMI,L045,2024-06-17
CMD724159,C00350,P010,Jun 25 2024,5,94.78,annulé,rabat ,CMI,L042,2024-06-26
CMD554369,C02019,P039,Feb 07 2024,1,11534.64,livré,Marrakech,CMI,L047,2024-02-13
CMD463429,C00992,P044,Jun 15 2024,4,8586.62,annule,KEN,Paiement a la livraison,L044,2024-06-22
CMD938587,C01224,P021,2025-03-18,3,1797.02,en_cours,Casablanca,PayPal,L027,2025-03-21
CMD352324,C01300,P035,09/03/2024,2,756.25,retourné,Tanger Ville,CMI,L041,2024-03-10
CMD326263,C01147,P041,25/09/2024,3,2071.77,annulé,Safi,CMI,L047,2024-09-30
CMD467204,C00108,P021,Mar 04 2025,2,5068.89,OK,settat ,PayPal,L016,2025-03-09
CMD688335,C01797,P007,Jan 05 2025,2,3991.6,LIVRE,al hoceima,Maroc Pay,L022,2025-01-07
CMD918199,C00075,P031,Dec 22 2024,4,4478.69,retourné,casa blanca,Paiement a la livraison,L020,2024-12-26
CMD925222,C00479,P041,24/08/2024,3,2641.03,retourne,Tanger Ville,Paiement a la livraison,L043,2024-08-27
CMD874074,C01441,P015,2024-11-06,5,8136.23,annule,Kenitra Ville,Virement,L025,2024-11-07
CMD391037,C02151,P040,Oct 08 2024,3,8482.68,DONE,Marrakesh,Paiement a la livraison,L047,2024-10-09
CMD448224,C00373,P037,Jan 22 2025,5,259.3,annulé,SAFI,PayPal,L004,2025-01-26
CMD745908,C02198,P003,2024-06-07,3,3238.17,en_cours,SLA,Virement,,2024-06-12
CMD651337,C01814,P004,08/08/2024,2,4912.96,LIVRE,marrakech ,CMI,L027,2024-08-09
CMD416328,C01262,P013,May 05 2024,5,3100.73,livré,fes ,CMI,L004,2024-05-11
CMD668054,C01165,P002,03/04/2024,4,6115.01,livré,Rabat Ville,Paiement a la livraison,L001,2024-04-09
CMD193106,C01272,P036,Jul 23 2024,4,4883.52,en_cours,Marrakech,Maroc Pay,L003,2024-07-24
CMD975287,C00678,P004,2024-11-18,5,5364.55,en_cours,tetouan ,Paiement a la livraison,L041,2024-11-21
CMD489592,C02138,P010,2024-02-28,3,6574.12,OK,Agadir Ville,Carte bancaire,L008,2024-03-05
CMD125674,C01188,P011,Dec 08 2024,1,8529.82,LIVRE,Tiznit Ville,Paiement a la livraison,L027,2024-12-15
CMD464240,C00617,P009,25/02/2025,3,11071.99,livré,marrakech ,Paiement a la livraison,L037,2025-02-27
CMD431059,C01129,P040,04/04/2024,2,5314.18,livre,Dar el Beida,Carte bancaire,L021,2024-04-05
CMD462881,C00462,P002,07/03/2024,4,599.01,livré,Sale,CMI,L005,2024-03-08
CMD894870,C01314,P011,2024-03-23,5,6168.5,retourné,Safi,CMI,L043,2024-03-25
CMD602591,C00326,P020,Feb 01 2024,4,6328.87,KO,nador,PayPal,L049,2024-02-08
CMD667396,C01845,P035,2024-10-25,1,2788.06,livré,rabat ,Maroc Pay,L002,2024-10-27
CMD776511,C01536,P009,20/07/2024,1,3124.51,KO,tetouan,CMI,,2024-07-25
CMD650415,C01457,P022,02/02/2024,4,3468.42,KO,tiznit,PayPal,L032,2024-02-05
CMD770413,C02182,P027,10/04/2024,1,8310.25,livré,KEN,Carte bancaire,L021,2024-04-16
CMD734389,C00968,P005,26/05/2024,5,11019.33,annulé,tetouan ,Virement,L006,2024-06-02
CMD115973,C00166,P006,29/04/2024,5,2098.44,LIVRE,agadir,PayPal,L015,2024-05-02
CMD991827,C00976,P035,2025-01-06,1,9642.02,retourne,Nador,PayPal,L036,2025-01-08
CMD734446,C00978,P012,2025-02-20,1,2788.26,livré,Kenitra Ville,Maroc Pay,L045,2025-02-23
CMD142936,C00322,P005,24/02/2025,5,2571.25,LIVRE,TTA,Maroc Pay,L028,2025-02-27
CMD357282,C00473,P027,Feb 03 2025,4,11887.4,en_cours,SAFI,Maroc Pay,L050,2025-02-04
CMD777502,C00068,P025,24/01/2024,5,11601.45,LIVRE,Sale Ville,Carte bancaire,L008,2024-01-28
CMD730008,C00593,P034,Mar 22 2024,1,10100.43,retourné,TIZ,Virement,L045,2024-03-26
CMD143647,C00901,P019,2024-01-02,5,1877.39,OK,al hoceima ,Paiement a la livraison,L015,2024-01-03
CMD569022,C01581,P012,2024-07-02,5,4931.4,DONE,Settat,Virement,L017,2024-07-06
CMD959189,C00923,P029,2024-05-17,1,4195.01,livré,tng,CMI,L047,2024-05-22
CMD190692,C00316,P024,Aug 31 2024,5,4055.4,livré,Sale,Maroc Pay,L017,2024-09-05
CMD333150,C00540,P010,2024-04-12,1,5744.33,retourne,Casablanca,CMI,L026,2024-04-15
CMD116077,C02145,P039,06/03/2025,3,6798.4,annulé,casa blanca,Maroc Pay,L014,2025-03-12
CMD225105,C02176,P029,25/01/2025,4,9333.23,retourne,agadir,Virement,L025,2025-01-30
CMD214106,C01634,P042,2024-07-28,1,10232.08,livré,TNG,Carte bancaire,L015,2024-08-04
CMD774770,C00507,P007,Jul 05 2024,2,2649.91,annulé,Tanger Ville,PayPal,L018,2024-07-11
CMD453176,C02232,P033,26/09/2024,1,7287.1,KO,HOC,CMI,L042,2024-10-03
CMD667121,C01334,P034,2025-01-20,3,11294.26,livré,Rabat Ville,Maroc Pay,,2025-01-22
CMD745379,C00623,P002,Oct 22 2024,4,7272.1,retourné,marrakech ,Carte bancaire,L017,2024-10-24
CMD532271,C01164,P035,Nov 04 2024,5,11012.86,livré,KEN,Paiement a la livraison,L002,2024-11-09
CMD284234,C00951,P012,Feb 02 2025,5,4310.73,retourné,safi ,Paiement a la livraison,L012,2025-02-06
CMD680957,C01577,P010,25/10/2024,5,7777.9,livré,Nador,Carte bancaire,L017,2024-10-28
CMD184695,C00499,P014,Feb 27 2024,4,7661.97,livre,HOC,CMI,L029,2024-03-03
CMD795931,C01041,P005,2024-05-14,3,10120.0,en_cours,TIZ,Paiement a la livraison,L018,2024-05-20
CMD303888,C01692,P010,20/03/2024,3,9427.87,en_cours,NAD,Maroc Pay,L008,2024-03-23
CMD150614,C00303,P048,Feb 15 2025,3,6363.82,annulé,tanger ,Carte bancaire,L042,2025-02-19
CMD587505,C00163,P037,May 31 2024,4,5820.52,DONE,marrakech ,CMI,,2024-06-06
CMD413036,C00244,P027,Jun 07 2024,3,1094.38,KO,SLA,Maroc Pay,L035,2024-06-12
CMD125053,C02162,P027,May 08 2024,3,11563.21,OK,Fes,CMI,L041,2024-05-14
CMD339411,C00633,P046,2024-09-13,3,2138.89,en_cours,rabat,Maroc Pay,L042,2024-09-15
CMD292111,C02050,P007,18/03/2024,5,3323.69,retourne,Agadir,PayPal,L009,2024-03-23
CMD211628,C00577,P001,Feb 01 2024,1,4111.16,livré,RBT,Carte bancaire,L001,2024-02-07
CMD359967,C01898,P019,2024-11-06,1,2137.31,livré,tetouan ,CMI,L030,2024-11-11
CMD332224,C01854,P034,2024-04-30,3,4253.82,livré,Marrakesh,PayPal,L012,2024-05-01
CMD168116,C02050,P013,2024-08-30,1,348.75,livre,al hoceima ,Virement,L022,2024-09-05
CMD171627,C02202,P029,2024-05-31,2,3277.73,OK,Hoceima,Virement,L037,2024-06-01
CMD396019,C01431,P012,Jan 02 2024,5,3079.92,livré,Sale Ville,Carte bancaire,L019,2024-01-03
CMD499632,C01187,P032,2024-07-19,4,1594.98,livré,kenitra,Maroc Pay,L036,2024-07-21
CMD693947,C01597,P029,2024-08-03,5,2627.45,livre,Settat Ville,Maroc Pay,L006,2024-08-10
CMD244288,C01456,P013,2024-10-18,3,9496.28,retourné,Marrakesh,Maroc Pay,L001,2024-10-25
CMD773016,C01983,P011,09/02/2025,3,10368.05,livré,Oujda,CMI,L049,2025-02-12
CMD730014,C01896,P008,16/09/2024,2,5362.96,livré,al hoceima,Carte bancaire,L014,2024-09-17
CMD510496,C02207,P044,13/04/2024,2,7136.11,retourné,nador,CMI,L003,2024-04-20
CMD701047,C01734,P006,Jun 14 2024,3,4971.55,livré,Tetouan Ville,Maroc Pay,L024,2024-06-19
CMD200317,C00036,P021,2024-08-05,5,11284.81,en_cours,Safi,PayPal,L016,2024-08-12
CMD867907,C00849,P045,Jan 01 2025,4,1955.06,livré,agadir,Carte bancaire,L023,2025-01-05
CMD362672,C00865,P013,Sep 23 2024,1,3637.85,annulé,SETT,Carte bancaire,L014,2024-09-28
CMD326432,C01907,P034,14/11/2024,2,317.77,annulé,sale ,CMI,L025,2024-11-21
CMD618975,C00521,P011,Dec 31 2024,2,396.24,en_cours,safi,CMI,L028,2025-01-03
CMD668828,C01070,P006,2024-03-13,2,9663.74,livré,safi,PayPal,L048,2024-03-15
CMD891498,C00521,P034,28/10/2024,5,7851.74,DONE,oujda ,Virement,L021,2024-11-02
CMD475269,C01984,P031,01/02/2025,3,5708.28,retourne,kenitra ,Carte bancaire,L026,2025-02-04
CMD468255,C02101,P044,Apr 01 2024,3,11192.86,LIVRE,settat ,Virement,,2024-04-06
CMD242552,C00960,P036,Jan 29 2025,5,7713.49,annule,TIZ,Virement,L007,2025-02-04
CMD288032,C01833,P009,Aug 18 2024,2,10640.44,livré,safi,Paiement a la livraison,L031,2024-08-25
CMD854244,C00808,P014,23/11/2024,3,6450.97,OK,Tetouan,PayPal,,2024-11-27
CMD966299,C00474,P002,Mar 14 2025,2,5416.93,KO,Agadir,Maroc Pay,L025,2025-03-21
CMD480110,C02088,P024,Apr 21 2024,3,10530.42,livre,Settat Ville,Maroc Pay,L026,2024-04-26
CMD528081,C00832,P041,28/07/2024,1,7679.44,annulé,Rabat,Paiement a la livraison,L029,2024-07-31
CMD212753,C00294,P009,2024-03-02,4,3685.83,DONE,MRK,Carte bancaire,L016,2024-03-03
CMD716687,C01030,P035,2024-03-07,2,2440.64,en_cours,Settat Ville,CMI,L008,2024-03-12
CMD285603,C01191,P039,2024-09-30,4,5160.93,livré,Fes Ville,CMI,L042,2024-10-03
CMD192848,C02134,P026,Nov 01 2024,5,8597.09,livre,tetouan ,Carte bancaire,L014,2024-11-02
CMD126356,C00150,P009,31/01/2025,4,9796.59,KO,tanger,Paiement a la livraison,L041,2025-02-05
CMD219980,C01887,P038,Jul 13 2024,3,3510.3,annule,al hoceima ,Paiement a la livraison,L031,2024-07-19
CMD229682,C00884,P012,2024-03-06,3,1522.81,livré,RBT,Carte bancaire,L025,2024-03-08
CMD830408,C02021,P015,Mar 01 2024,3,4061.8,annule,tanger,CMI,L046,2024-03-04
CMD121852,C00041,P029,18/07/2024,2,1677.26,DONE,Settat,Carte bancaire,,2024-07-19
CMD991495,C02115,P025,Oct 28 2024,3,11454.2,livré,safi,Paiement a la livraison,L021,2024-11-03
CMD886417,C01698,P030,2025-03-25,3,7254.01,retourne,SAFI,CMI,,2025-03-29
CMD561235,C00754,P001,03/01/2024,5,7959.64,retourné,sale,Carte bancaire,L046,2024-01-04
CMD719050,C01361,P023,Oct 06 2024,3,3278.39,KO,fes ,PayPal,L046,2024-10-11
CMD461025,C00453,P005,2024-07-28,3,7602.49,en_cours,agadir ,PayPal,L018,2024-08-04
CMD985026,C02196,P025,Feb 01 2025,5,7202.2,KO,Tiznit Ville,CMI,L048,2025-02-03
CMD615660,C01843,P044,25/11/2024,1,9362.64,en_cours,casa,PayPal,L027,2024-11-26
CMD232517,C02136,P047,11/11/2024,4,408.84,en_cours,kenitra ,Carte bancaire,L008,2024-11-13
CMD116763,C01489,P046,May 23 2024,5,9546.32,livré,RBT,Virement,L042,2024-05-25
CMD383689,C00235,P019,Jan 11 2025,5,8699.91,retourne,TNG,Carte bancaire,L007,2025-01-14
CMD562484,C01760,P045,18/01/2024,1,11412.13,annulé,Marrakesh,Paiement a la livraison,L035,2024-01-21
CMD884346,C00943,P039,2024-02-11,5,2469.79,retourne,MRK,CMI,L043,2024-02-13
CMD128652,C01776,P047,13/03/2024,5,5458.13,OK,oujda,PayPal,L034,2024-03-14
CMD545938,C00122,P007,2024-11-07,2,5645.35,DONE,tetouan ,Maroc Pay,L005,2024-11-11
CMD327620,C00968,P024,13/03/2024,3,11961.48,livré,Tnja,Virement,L018,2024-03-18
CMD571818,C01834,P018,Dec 27 2024,1,11714.95,DONE,Rabat Ville,Paiement a la livraison,L005,2024-12-28
CMD546480,C01939,P004,Jun 23 2024,5,10567.74,annulé,Nador Ville,Paiement a la livraison,L014,2024-06-28
CMD146154,C00028,P011,Jan 14 2024,2,10530.36,retourné,Agadir Ville,CMI,L022,2024-01-18
CMD155059,C00349,P041,May 28 2024,4,8940.98,retourne,OUJ,Paiement a la livraison,L029,2024-06-02
CMD855362,C00958,P008,2024-01-29,3,1825.03,livré,Sale Ville,Maroc Pay,L013,2024-02-04
CMD911329,C00946,P008,Jun 07 2024,5,3438.81,retourné,rabat ,Paiement a la livraison,L048,2024-06-08
CMD518372,C01272,P033,Jan 10 2024,1,6697.83,annule,SLA,Virement,L003,2024-01-14
CMD389766,C01162,P014,Sep 27 2024,1,8670.28,annulé,Fes,Maroc Pay,L050,2024-09-29
CMD951852,C01884,P017,20/01/2024,4,6058.63,en_cours,Rabat,Virement,L006,2024-01-21
CMD795783,C01161,P030,Nov 19 2024,5,1914.07,KO,Safi,CMI,L036,2024-11-21
CMD106510,C01093,P011,Oct 23 2024,4,10358.74,en_cours,SLA,Carte bancaire,L002,2024-10-28
CMD851189,C00671,P020,Aug 22 2024,3,4585.88,OK,Tetouan,Carte bancaire,L038,2024-08-27
